humidi,rain
90,1
64,0
75,0
79,0
70,0
75,0
75,1
63,0
76,1
70,0
73,1
61,0
74,0
74,0
68,1
69,0
73,1
81,1
79,1
71,0
72,0
75,0
79,0
77,0
70,0
70,0
81,1
64,0
72,0
76,0
79,1
69,0
74,0
72,1
76,0
81,1
78,1
66,1
74,0
81,0
69,0
75,1
72,1
70,0
82,1
76,0
71,0
73,0
72,0
74,1
77,1
68,0
72,0
70,1
76,1
76,0
68,1
78,1
74,1
72,1
74,0
79,1
82,1
69,0
89,1
81,1
71,1
73,0
77,1
88,1
75,1
78,1
74,0
76,1
82,1
79,0
68,0
81,0
83,1
67,0
71,0
76,1
87,1
71,0
77,0
73,0
76,0
79,1
77,0
70,0
73,0
91,1
70,1
75,1
75,0
74,0
75,0
72,1
70,1
70,0
75,0
88,1
63,0
77,1
86,1
68,0
77,1
75,0
74,1
77,1
73,1
75,1
71,1
77,1
84,1
67,0
78,1
85,1
68,1
72,0
77,0
70,0
77,0
79,1
66,1
74,1
71,0
89,1
67,0
78,0
71,0
78,1
72,0
74,0
78,1
72,0
75,1
73,1
74,1
68,0
75,1
76,1
71,0
70,0
71,0
74,0
74,1
73,1
75,1
75,1
74,1
76,1
67,0
72,1
76,1
72,0
70,1
68,0
76,1
81,1
76,1
76,1
75,1
74,1
74,1
65,0
70,0
66,0
75,1
69,0
65,0
73,1
80,1
75,1
69,1
66,0
74,1
83,1
72,1
71,0
70,0
77,0
73,0
63,0
70,0
81,1
68,0
68,0
67,0
74,0
77,1
81,1
68,0
74,0
72,0
72,0
63,0
73,1
82,1
69,0
65,0
69,0
75,0
85,1
76,1
69,0
71,0
63,0
67,0
80,0
73,1
67,0
69,1
72,1
73,0
75,0
77,0
71,1
65,0
70,0
70,0
71,0
86,1
65,0
82,0
68,0
59,0
68,0
73,0
74,1
76,1
66,0
70,0
70,0
69,0
80,0
72,1
80,0
73,0
68,0
68,0
72,1
69,1
70,1
69,1
67,0
72,0
66,0
64,0
75,1
79,1
75,1
75,1
72,0
73,1
75,1
67,0
67,0
66,0
79,0
69,0
84,1
75,1
79,0
74,1
64,1
70,0
73,1
67,0
73,1
71,1
70,0
78,1
79,1
76,0
76,1
77,1
73,1
64,0
66,0
72,0
64,0
73,0
67,0
73,0
81,1
78,1
71,0
74,1
74,1
71,0
67,1
66,0
62,0
76,1
72,1
65,0
72,0
75,1
68,0
67,1
73,0
72,1
71,0
72,0
73,0
68,1
62,0
71,0
65,0
77,0
69,0
68,0
71,1
68,0
83,1
72,0
73,1
72,0
74,1
61,0
75,1
65,0
73,0
70,0
71,0
91,1
67,0
82,0
72,0
62,0
65,0
72,0
70,0
71,0
69,0
67,0
67,0
66,0
68,0
66,0
83,1
71,0
70,0
66,0
74,1
71,1
75,1
67,1
77,0
65,0
66,0
64,0
66,0
78,1
71,0
69,0
67,0
73,0
71,1
72,1
65,0
71,1
64,0
66,0
70,0
70,0
76,0
72,0
70,0
64,0
71,0
64,1
69,1
66,1
67,0
65,0
70,0
75,1
68,1
75,1
71,0
70,0
67,0
55,0
71,1
72,0
61,0
78,0
74,0
70,0
74,1
70,0
74,0
70,0
74,0
65,0
63,1
65,0
71,1
67,0
77,0
71,0
62,0
74,0
69,0
75,0
71,0
70,0
64,0
64,0
72,1
66,0
66,0
68,0
70,0
72,1
69,0
71,1
74,0
74,0
70,0
64,0
61,0
72,1
62,0
70,0
71,0
65,0
63,0
69,0
71,0
71,0
75,0
73,0
68,0
68,0
75,0
