province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Bac Lieu,27,22,17,NNE,1,90,71,1010,1/1/2009
Bac Lieu,31,25,20,ENE,0,64,24,1010,1/1/2010
Bac Lieu,29,24,14,E,0,75,45,1008,1/1/2011
Bac Lieu,30,24,30,E,0,79,52,1012,1/1/2012
Bac Lieu,31,25,20,ENE,0,70,24,1010,1/1/2013
Bac Lieu,28,23,14,ENE,0,75,55,1012,1/1/2014
Bac Lieu,29,23,10,ENE,1,75,42,1012,1/1/2015
Bac Lieu,32,24,22,ENE,0,63,9,1015,1/1/2016
Bac Lieu,30,24,20,ENE,1,76,35,1011,1/1/2017
Bac Lieu,29,23,16,E,0,70,33,1010,1/1/2018
Bac Lieu,27,22,19,WSW,1,73,55,1012,1/1/2019
Bac Lieu,32,23,22,ENE,0,61,9,1014,1/1/2020
Bac Lieu,28,21,9,WSW,0,74,48,1011,1/1/2021
Bac Lieu,28,21,12,ENE,0,74,26,1014,1/9/2009
Bac Lieu,31,25,20,E,1,68,29,1011,1/9/2010
Bac Lieu,31,23,16,E,0,69,27,1009,1/9/2011
Bac Lieu,30,24,17,E,1,73,58,1011,1/9/2012
Bac Lieu,30,25,6,SSE,1,81,48,1009,1/9/2013
Bac Lieu,25,23,21,E,1,79,71,1011,1/9/2014
Bac Lieu,31,24,23,ENE,0,71,17,1012,1/9/2015
Bac Lieu,31,25,23,E,0,72,25,1013,1/9/2016
Bac Lieu,31,25,23,E,0,75,25,1008,1/9/2017
Bac Lieu,32,25,13,E,0,79,28,1011,1/9/2018
Bac Lieu,31,24,20,E,0,77,13,1013,1/9/2019
Bac Lieu,32,24,16,E,0,70,15,1010,1/9/2020
Bac Lieu,29,23,17,ENE,0,70,33,1010,1/9/2021
Bac Lieu,29,22,10,NE,1,81,40,1013,1/8/2009
Bac Lieu,32,25,19,E,0,64,15,1012,1/8/2010
Bac Lieu,30,23,18,ENE,0,72,31,1009,1/8/2011
Bac Lieu,29,23,14,ENE,0,76,56,1013,1/8/2012
Bac Lieu,31,24,10,E,1,79,50,1009,1/8/2013
Bac Lieu,31,24,16,ENE,0,69,52,1011,1/8/2014
Bac Lieu,31,24,26,E,0,74,12,1011,1/8/2015
Bac Lieu,32,25,22,E,1,72,35,1013,1/8/2016
Bac Lieu,31,25,26,E,0,76,34,1008,1/8/2017
Bac Lieu,30,25,13,E,1,81,38,1011,1/8/2018
Bac Lieu,30,25,22,E,1,78,28,1012,1/8/2019
Bac Lieu,33,25,20,E,1,66,25,1010,1/8/2020
Bac Lieu,29,24,18,ENE,0,74,31,1009,1/8/2021
Bac Lieu,29,22,10,SE,0,81,25,1010,1/5/2009
Bac Lieu,26,18,14,E,0,69,16,1014,1/10/2009
Bac Lieu,30,25,15,E,1,75,53,1011,1/10/2010
Bac Lieu,32,23,7,ESE,1,72,40,1008,1/10/2011
Bac Lieu,31,24,17,ENE,0,70,34,1011,1/10/2012
Bac Lieu,31,24,9,SW,1,82,38,1010,1/10/2013
Bac Lieu,27,23,21,ENE,0,76,60,1012,1/10/2014
Bac Lieu,32,24,19,E,0,71,19,1011,1/10/2015
Bac Lieu,32,25,19,E,0,73,16,1013,1/10/2016
Bac Lieu,31,25,21,E,0,72,13,1009,1/10/2017
Bac Lieu,31,25,17,ENE,1,74,39,1012,1/10/2018
Bac Lieu,30,25,21,E,1,77,22,1012,1/10/2019
Bac Lieu,32,25,17,E,0,68,28,1009,1/10/2020
Bac Lieu,28,22,13,ENE,0,72,38,1010,1/10/2021
Bac Lieu,32,26,20,E,1,70,19,1009,1/5/2010
Bac Lieu,30,24,25,ENE,1,76,52,1008,1/5/2011
Bac Lieu,31,23,16,E,0,76,10,1012,1/5/2012
Bac Lieu,30,22,8,WSW,1,68,30,1008,1/5/2013
Bac Lieu,30,23,17,E,1,78,48,1010,1/5/2014
Bac Lieu,32,24,14,ENE,1,74,48,1010,1/5/2015
Bac Lieu,32,25,16,E,1,72,49,1012,1/5/2016
Bac Lieu,30,25,25,E,0,74,13,1009,1/5/2017
Bac Lieu,31,25,12,ESE,1,79,52,1009,1/5/2018
Bac Lieu,30,25,22,E,1,82,55,1013,1/5/2019
Bac Lieu,30,24,15,E,0,69,9,1011,1/5/2020
Bac Lieu,25,23,9,ESE,1,89,86,1010,1/5/2021
Bac Lieu,30,23,10,E,1,81,25,1011,1/6/2009
Bac Lieu,31,25,21,E,1,71,16,1010,1/6/2010
Bac Lieu,31,24,25,ENE,0,73,32,1009,1/6/2011
Bac Lieu,31,23,12,ENE,1,77,14,1013,1/6/2012
Bac Lieu,25,21,13,NNW,1,88,92,1009,1/6/2013
Bac Lieu,30,23,18,E,1,75,29,1010,1/6/2014
Bac Lieu,30,25,18,ENE,1,78,42,1009,1/6/2015
Bac Lieu,32,25,17,E,0,74,30,1014,1/6/2016
Bac Lieu,30,25,27,E,1,76,45,1008,1/6/2017
Bac Lieu,31,25,14,ESE,1,82,49,1009,1/6/2018
Bac Lieu,30,25,23,E,0,79,31,1013,1/6/2019
Bac Lieu,32,24,13,ENE,0,68,26,1012,1/6/2020
Bac Lieu,29,24,18,ENE,0,81,49,1009,1/6/2021
Bac Lieu,29,24,12,ESE,1,83,30,1012,1/7/2009
Bac Lieu,31,25,23,E,0,67,7,1012,1/7/2010
Bac Lieu,30,24,24,ENE,0,71,36,1010,1/7/2011
Bac Lieu,30,24,18,E,1,76,47,1012,1/7/2012
Bac Lieu,28,23,15,E,1,87,71,1009,1/7/2013
Bac Lieu,30,23,13,ENE,0,71,39,1010,1/7/2014
Bac Lieu,31,24,22,E,0,77,50,1010,1/7/2015
Bac Lieu,32,25,21,E,0,73,29,1014,1/7/2016
Bac Lieu,31,25,26,E,0,76,41,1007,1/7/2017
Bac Lieu,31,25,13,ESE,1,79,43,1010,1/7/2018
Bac Lieu,30,25,23,E,0,77,15,1012,1/7/2019
Bac Lieu,32,24,20,E,0,70,22,1011,1/7/2020
Bac Lieu,30,24,18,ENE,0,73,33,1009,1/7/2021
Bac Lieu,23,21,9,ESE,1,91,77,1011,1/3/2009
Bac Lieu,30,26,22,E,1,70,56,1010,1/3/2010
Bac Lieu,32,23,13,ENE,1,75,30,1009,1/3/2011
Bac Lieu,29,24,22,E,0,75,22,1012,1/3/2012
Bac Lieu,32,25,19,ENE,0,74,26,1011,1/3/2013
Bac Lieu,31,23,10,ENE,0,75,18,1012,1/3/2014
Bac Lieu,30,22,8,SSE,1,72,38,1012,1/3/2015
Bac Lieu,33,26,15,E,1,70,39,1014,1/3/2016
Bac Lieu,31,25,25,ENE,0,70,48,1010,1/3/2017
Bac Lieu,32,24,11,ENE,0,75,23,1009,1/3/2018
Bac Lieu,27,23,30,ENE,1,88,87,1012,1/3/2019
Bac Lieu,31,25,24,ENE,0,63,10,1013,1/3/2020
Bac Lieu,28,23,10,SE,1,77,51,1010,1/3/2021
Bac Lieu,27,21,9,E,1,86,32,1011,1/4/2009
Bac Lieu,32,25,22,E,0,68,42,1009,1/4/2010
Bac Lieu,31,24,17,ENE,1,77,64,1009,1/4/2011
Bac Lieu,29,23,21,E,0,75,10,1012,1/4/2012
Bac Lieu,32,25,14,E,1,74,36,1009,1/4/2013
Bac Lieu,31,23,14,E,1,77,46,1011,1/4/2014
Bac Lieu,32,24,11,ENE,1,73,51,1010,1/4/2015
Bac Lieu,30,24,14,E,1,75,54,1011,1/4/2016
Bac Lieu,30,25,23,ENE,1,71,52,1009,1/4/2017
Bac Lieu,33,24,6,SSW,1,77,33,1008,1/4/2018
Bac Lieu,29,25,27,E,1,84,55,1013,1/4/2019
Bac Lieu,31,24,18,E,0,67,9,1012,1/4/2020
Bac Lieu,30,21,13,E,1,78,56,1009,1/4/2021
Bac Lieu,28,22,15,ENE,1,85,61,1010,1/2/2009
Bac Lieu,30,25,22,ENE,1,68,49,1010,1/2/2010
Bac Lieu,30,23,18,E,0,72,18,1009,1/2/2011
Bac Lieu,29,24,27,E,0,77,29,1012,1/2/2012
Bac Lieu,32,25,19,ENE,0,70,29,1010,1/2/2013
Bac Lieu,29,23,14,E,0,77,46,1012,1/2/2014
Bac Lieu,27,22,6,SE,1,79,68,1013,1/2/2015
